"","RNA.0","RNA.1","RNA.2","RNA.3","RNA.4","RNA.5"
"ENSG00000243485",0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0
"ENSG00000238009",0.000518701757221539,0.00234657347627151,0.00250133939719852,0.000890766190297119,0.00181237147487996,0
"ENSG00000239945",0,0,0,0,0,0
"ENSG00000239906",0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0
"ENSG00000279928",0,0,0,0.000852586684547888,0,0
"ENSG00000279457",0.0610522584890596,0.0860750178542308,0.133947504498845,0.1335446064772,0.0674986975858258,0.139244816385172
"ENSG00000228463",0.019488273209844,0.0208206032599318,0.0463853854727263,0.0656353415839647,0.0586291789049545,0.0407702648043212
"ENSG00000236601",0,0,0,0,0,0
"ENSG00000237094",0.00322145995006971,0.00141073203080319,0.00166231245973577,0.0017148871331463,0.00183961201896999,0
"ENSG00000230021",0.000822447101246408,0.000476361659829579,0,0,0,0
"ENSG00000235146",0,0,0,0,0,0
"ENSG00000229905",0,0.00047779434397754,0,0,0,0
"ENSG00000237491",0.0123881653053481,0.0151529740602463,0.0216306179991798,0.0174073107486149,0.0164899148507543,0.0104997468983175
"ENSG00000177757",0,0,0.000834888169914325,0,0,0
"ENSG00000225880",0.00375507213695568,0.0132196496211108,0.0130547054437226,0.00244629550505353,0.00192936394697881,0.0206050377012076
"ENSG00000230368",0.00830998758009347,0.0103565543676186,0.0172988908279432,0.0110895035428027,0.0111341393893163,0.0200811021673609
"ENSG00000272438",0,0,0,0,0,0
"ENSG00000230699",0,0,0.000855094510360261,0.00171846955337972,0,0
"ENSG00000241180",0,0.000474003340035274,0,0,0,0
"ENSG00000223764",0,0,0,0.00596997845075583,0,0
"ENSG00000187634",0.00102239577735098,0.000473101570085616,0.00166403038867055,0.0413103488289344,0,0
"ENSG00000188976",0.0682971179414303,0.0936683826920489,0.0695596193491476,0.110308014639949,0.177334997057133,0.13421659104434
"ENSG00000187961",0.00186253595605271,0.0028452162690398,0.00329374260357318,0.0103258553783474,0.00686293782538334,0
"ENSG00000187583",0.000547838125842101,0.00330988839404869,0.000841457005635823,0.00175263994515838,0.0114278388819884,0
"ENSG00000187642",0,0.000477121998970922,0,0,0,0
"ENSG00000272512",0,0.000954826813807373,0.000845640714288561,0.00173524385297615,0,0
"ENSG00000188290",0.00137602833598701,0.0152155537224237,0.030584895076256,0.103775327594286,0.00189477165244595,0.00520637030773576
"ENSG00000187608",0.158029768219758,0.212315133056982,0.175377682904153,0.252365868235188,0.16089761971517,0.414872005616355
"ENSG00000224969",0,0.000476380190069378,0,0,0,0
"ENSG00000188157",0.0323395408756063,0.000956093923271475,0.00995386230724979,0.105429791708797,0.005506368347742,0
"ENSG00000273443",0,0,0,0,0,0
"ENSG00000237330",0,0,0,0.000843180611659307,0,0
"ENSG00000131591",0.0140087795908662,0.00752597398270544,0.00245081051019286,0.0164848279374165,0.00949553808744713,0.0209835738443663
"ENSG00000223823",0,0,0,0,0,0
