	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.8080361347453978	0.8673192624314467	0.8459272070808856	0.8068215654343841	0.7722060341546783	0.8050690017790743
HALLMARK_HYPOXIA	0.8745419056998596	0.8540521684030595	0.8415943341059546	0.7933907398246854	0.8240631600287328	0.8384279514515632
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.849577765733937	0.7418533271891662	0.7827647757756899	0.7569382667375693	0.7612228615677821	0.7913553124172165
HALLMARK_MITOTIC_SPINDLE	0.682712047018934	0.6857877348049446	0.6960922024219367	0.6915701770966681	0.6850153217580095	0.739347709333867
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.5982768518306096	0.6303789369499417	0.6528850201786757	0.6801637391542262	0.7159962149616338	0.6554767323970954
HALLMARK_TGF_BETA_SIGNALING	0.7269138924022561	0.8115186319127241	0.8033065222257891	0.8328172575683029	0.7403786864580056	0.780107538250879
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.7247729905282753	0.7728747257231895	0.8006612212574975	0.7651964524294775	0.7488337765235341	0.7169462522325862
HALLMARK_DNA_REPAIR	0.748770478818956	0.7393919583068214	0.7352140991066001	0.7111252130693362	0.7843356177804063	0.7767534818491398
HALLMARK_G2M_CHECKPOINT	0.8163979334043671	0.7303756243266637	0.7187557018432573	0.6909327669210196	0.7973671084542254	0.8318934038292755
HALLMARK_APOPTOSIS	0.8410603921962222	0.8016965606862078	0.8314051833846001	0.8310422911208848	0.7804771025601989	0.7886332435274543
HALLMARK_NOTCH_SIGNALING	0.7843166195131938	0.6646110248071053	0.7181598001640856	0.7264352798913781	0.7426432552238547	0.7592202976152795
HALLMARK_ADIPOGENESIS	0.9120478136870037	0.7563195986114244	0.7947185348825682	0.7657501789005644	0.7913197257915865	0.7869307054611345
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.752424957263409	0.701137129415503	0.7293248816892461	0.7470672511665807	0.7064040511996553	0.6943721507994651
HALLMARK_ESTROGEN_RESPONSE_LATE	0.8993414630445056	0.7942478053604499	0.8264595681437883	0.7689649163058723	0.783007357349992	0.7980564548727526
HALLMARK_ANDROGEN_RESPONSE	0.8593845798407548	0.8612266830279887	0.8702554106684434	0.8464889602657555	0.8639789314470319	0.8375509090355591
HALLMARK_MYOGENESIS	0.7969741383684869	0.6639549960983651	0.7228016293198245	0.7860667133637541	0.6972654952124251	0.6597456551319208
HALLMARK_PROTEIN_SECRETION	0.7902468419208798	0.7457778846544967	0.7731455017360258	0.7582118939169065	0.7839540484812161	0.7517227912123218
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.8209814871824229	0.883591223639238	0.8635901593398927	0.84346131276643	0.8710401721544297	0.8570382160502845
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.8783810918061866	0.8629859161807105	0.8577766561384002	0.8220201413201308	0.842046851469153	0.8372027266513994
HALLMARK_APICAL_JUNCTION	0.7523525340774722	0.8590196102622937	0.8368951670086597	0.7658721400946271	0.8024928507670416	0.8685149951679476
HALLMARK_APICAL_SURFACE	0.6777447729725964	0.7665392610019065	0.707146927440471	0.7686275089334347	0.7028819734954416	0.7403529730938336
HALLMARK_HEDGEHOG_SIGNALING	0.833462631350064	0.6627399814276319	0.7125855226051617	0.7212636143003529	0.6555985351578149	0.6442214127500555
HALLMARK_COMPLEMENT	0.9275628651425033	0.8037729559863107	0.8713345947746889	0.8018487732978783	0.7717423330630853	0.8001274065469349
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.8103626082602505	0.8142440010893842	0.8001851537480555	0.7833869495852138	0.8657967348678925	0.7916592375532201
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.7631039058377549	0.811658821135334	0.8128242827026093	0.7380758180816648	0.8253324290777748	0.8129471535955297
HALLMARK_MTORC1_SIGNALING	0.8308710458354835	0.7753818964147153	0.7966601808562443	0.7411271939407065	0.8439825096376612	0.8054486925930177
HALLMARK_E2F_TARGETS	0.6848770695379192	0.7065119983883067	0.677388124309456	0.6457541692311682	0.8013518958981948	0.839807850778386
HALLMARK_MYC_TARGETS_V1	0.8569518416236234	0.8967705455723509	0.8764709573570746	0.8714912287872196	0.9128371189600615	0.9046333957093271
HALLMARK_MYC_TARGETS_V2	0.7491359917556232	0.7256934203028872	0.656815623795388	0.636343646155675	0.7864815183859384	0.7296862135048359
